79700,Heinävesi
86240,Pyhänkoski
97390,Kierinki
00900,Helsinki
02760,Espoo
07590,Askola
13720,Parola
50350,Norola
55700,Imatra
56800,Simpele
64260,Kaskinen
70101,Kuopio
74250,Nissilä
80130,Joensuu
03220,Tervalampi
07910,Valko
14610,Lepaa
15141,Lahti
19650,Joutsa
32560,Virttaa
35750,Väärinmaja
39501,Ikaalinen
39965,Karviankylä
43520,Kiminki
48710,Kotka
70500,Kuopio
74670,Rapakkojoki
80770,Kontiolahti As
83940,Nunnanlahti
99450,Palojoensuu
99670,Petkula
00331,Helsinki
00511,Helsinki
00650,Helsinki
02140,Espoo
08501,Lohja
30420,Forssa
36430,Sahalahti
40400,Jyväskylä
44170,Hietama
63920,Inha
68920,Forsby
91750,Liminpuro
95410,Tornio
95640,Juoksenki
00022,Tilastokeskus
00760,Helsinki
02320,Espoo
21660,Nauvo
26930,Vermuntila
31380,Letku
34510,Luode
52980,Ahvenainen
62720,Sissala
89110,Törmänmäki
92180,Lapaluoto
95840,Venejärvenkylä
98850,Kuosku
04380,Tuusula
00081,A-Lehdet
11111,Riihimäki
16270,Villikkala
21930,Uusikartano
27450,Harola
31641,Humppila
53900,Lappeenranta
59520,Saari Kk
63101,Kuortane
72310,Niinivesi
77480,Savuniemi
82220,Niittylahti
82501,Kitee
86550,Mieluskylä
92610,Vorna
05800,Hyvinkää
12600,Läyliäinen
16790,Manskivi
17440,Vähimaa
21230,Lemu
45911,Voikkaa
60280,Seinäjoki
61180,Haapaluoma
63450,Löyä
66470,Jukaja
78210,Varkaus
79190,Valkeamäki
82840,Pirttiaho
86980,Väliaho
91210,Jakkukylä
01300,Vantaa
03790,Vihtijärvi
13210,Hämeenlinna
25560,Koski As
38720,Vihteljärvi
41900,Petäjävesi
42600,Multia
46900,Inkeroinen
51880,Koikkala
52360,Someenjärvi
58300,Savonranta
66710,Kaitsor
70870,Hiltulanlahti
75501,Nurmes
01530,Vantaa
01680,Vantaa
04301,Tuusula
10470,Fiskari
29320,Leineperi
33251,Tampere
37470,Vesilahti
47490,Mankala
51460,Luusniemi
71460,Paukarlahti
71760,Ahkionlahti
75990,Höljäkkä
94900,Kemi
97840,Lehtiniemi
70401,Kuopio
04601,Mäntsälä
29860,Otamo
37800,Akaa
41231,Uurainen
57710,Savonlinna
64701,Teuva
65170,Vaasa
85150,Typpö
89540,Moisiovaara
95300,Tervola
32770,Huhtamo
41860,Tikkala
42440,Koskenpää
46810,Ummeljoki
51820,Hatsola
52320,Vitsiälä
58201,Kerimäki
70800,Kuopio
97370,Unarin-Luusua
99800,Ivalo
01510,Vantaa
01661,Vantaa
04260,Kerava
24280,Salo
29270,Hormisto
33231,Tampere
43100,Saarijärvi
47440,Sääskjärvi
66950,Munsala
71330,Räsälä
94800,Kemi
97650,Juotas
97810,Suorsa
99990,Nuorgam
15111,Lahti
25370,Pertteli
29811,Siikainen
33470,Ylöjärvi
37370,Vesilahti
37740,Haukila
41210,Jokihaara
57510,Savonlinna
61950,Juonikylä
64610,Ylimarkku
74630,Heinäkylä
98101,Kemijärvi
08480,Lohja
15500,Lahti
20100,Turku
22930,Fiskö
33711,Tampere
49401,Hamina
62240,Huhmarkoski
65410,Sundom
81290,Ukkola
85540,Nivala
00033,Mtv
00800,Helsinki
02380,Espoo
07230,Askola
21720,Korpoström
22150,Jomala
27130,Eurajoki
31460,Hirsjärvi
34640,Mustajärvi
73350,Haluna
92260,Kopsa
92810,Pelsonsuo
95920,Saaripudas
98960,Naruska
00102,Eduskunta
21101,Naantali
31720,Urjalankylä
32140,Ypäjä As
35301,Orivesi
54120,Pulp
59730,Uukuniemi
60550,Nurmo
82601,Tohmajärvi
86680,Vatjusjärvi
90840,Haukipudas
96440,Rovaniemi
99230,Jeesiöjärvi
00210,Helsinki
12750,Pilpala
16960,Iso-Evo
17510,Nyystölä
21270,Nousiainen
25660,Mathildedal
41970,Huttula
78400,Varkaus
82900,Ilomantsi
04131,Sipoo
13330,Harviala
18130,Heinola
21490,Marttila
42720,Keuruu
46950,Ahvio
